2022-12-01/00:00,5.0,88.0
2022-12-01/00:01,5.0,88.0
2022-12-01/00:02,5.0,88.0
2022-12-01/00:03,5.0,88.0
2022-12-01/00:04,5.0,88.0
2022-12-01/00:05,5.0,88.0
2022-12-01/00:06,5.0,88.0
2022-12-01/00:07,5.0,88.0
2022-12-01/00:08,5.0,88.0
2022-12-01/00:09,5.0,88.0
2022-12-01/00:10,5.0,88.0
2022-12-01/00:11,5.0,88.0
2022-12-01/00:12,5.0,88.0
2022-12-01/00:13,5.0,88.0
2022-12-01/00:14,5.0,88.0
2022-12-01/00:15,5.0,88.0
2022-12-01/00:16,5.0,88.0
2022-12-01/00:17,5.0,88.0
2022-12-01/00:18,5.0,88.0
2022-12-01/00:19,5.0,88.0
2022-12-01/00:20,5.0,88.0
2022-12-01/00:21,5.0,88.0
2022-12-01/00:22,5.0,88.0
2022-12-01/00:23,5.0,88.0
2022-12-01/00:24,5.0,88.0
2022-12-01/00:25,5.0,88.0
2022-12-01/00:26,5.0,88.0
2022-12-01/00:27,5.0,88.0
2022-12-01/00:28,5.0,88.0
2022-12-01/00:29,5.0,88.0
2022-12-01/00:30,5.0,88.0
2022-12-01/00:31,5.0,88.0
2022-12-01/00:32,5.0,88.0
2022-12-01/00:33,5.0,88.0
2022-12-01/00:34,5.0,88.0
2022-12-01/00:35,5.0,88.0
2022-12-01/00:36,5.0,88.0
2022-12-01/00:37,5.0,88.0
2022-12-01/00:38,5.0,88.0
2022-12-01/00:39,5.0,88.0
2022-12-01/00:40,5.0,88.0
2022-12-01/00:41,5.0,88.0
2022-12-01/00:42,5.0,88.0
2022-12-01/00:43,5.0,88.0
2022-12-01/00:44,5.0,88.0
2022-12-01/00:45,5.0,88.0
2022-12-01/00:46,5.0,88.0
2022-12-01/00:47,5.0,88.0
2022-12-01/00:48,5.0,88.0
2022-12-01/00:49,5.0,88.0
2022-12-01/00:50,5.0,88.0
2022-12-01/00:51,5.0,88.0
2022-12-01/00:52,5.0,88.0
2022-12-01/00:53,5.0,88.0
2022-12-01/00:54,5.0,88.0
2022-12-01/00:55,5.0,88.0
2022-12-01/00:56,5.0,88.0
2022-12-01/00:57,5.0,88.0
2022-12-01/00:58,5.0,88.0
2022-12-01/00:59,5.0,88.0
2022-12-01/01:00,5.0,88.0
2022-12-01/01:01,5.0,88.0
2022-12-01/01:02,5.0,88.0
2022-12-01/01:03,5.0,88.0
2022-12-01/01:04,5.0,88.0
2022-12-01/01:05,5.0,88.0
2022-12-01/01:06,5.0,88.0
2022-12-01/01:07,5.0,88.0
2022-12-01/01:08,5.0,88.0
2022-12-01/01:09,5.0,88.0
2022-12-01/01:10,5.0,88.0
2022-12-01/01:11,5.0,88.0
2022-12-01/01:12,5.0,88.0
2022-12-01/01:13,5.0,88.0
2022-12-01/01:14,5.0,88.0
2022-12-01/01:15,5.0,88.0
2022-12-01/01:16,5.0,88.0
2022-12-01/01:17,5.0,88.0
2022-12-01/01:18,5.0,88.0
2022-12-01/01:19,5.0,88.0
2022-12-01/01:20,5.0,88.0
2022-12-01/01:21,4.0,87.0
2022-12-01/01:22,4.0,87.0
2022-12-01/01:23,4.0,87.0
2022-12-01/01:24,4.0,87.0
2022-12-01/01:25,4.0,87.0
2022-12-01/01:26,4.0,87.0
2022-12-01/01:27,4.0,87.0
2022-12-01/01:28,5.0,88.0
2022-12-01/01:29,5.0,88.0
2022-12-01/01:30,5.0,88.0
2022-12-01/01:31,5.0,88.0
2022-12-01/01:32,5.0,88.0
2022-12-01/01:33,5.0,88.0
2022-12-01/01:34,4.0,87.0
2022-12-01/01:35,4.0,87.0
2022-12-01/01:36,4.0,87.0
2022-12-01/01:37,4.0,87.0
2022-12-01/01:38,4.0,87.0
2022-12-01/01:39,4.0,87.0
2022-12-01/01:40,4.0,87.0
2022-12-01/01:41,4.0,87.0
2022-12-01/01:42,4.0,87.0
2022-12-01/01:43,4.0,87.0
2022-12-01/01:44,4.0,87.0
2022-12-01/01:45,4.0,87.0
2022-12-01/01:46,4.0,87.0
2022-12-01/01:47,4.0,87.0
2022-12-01/01:48,4.0,87.0
2022-12-01/01:49,4.0,87.0
2022-12-01/01:50,4.0,87.0
2022-12-01/01:51,4.0,87.0
2022-12-01/01:52,4.0,87.0
2022-12-01/01:53,4.0,87.0
2022-12-01/01:54,4.0,87.0
2022-12-01/01:55,4.0,87.0
2022-12-01/01:56,4.0,87.0
2022-12-01/01:57,4.0,87.0
2022-12-01/01:58,4.0,87.0
2022-12-01/01:59,4.0,87.0
2022-12-01/02:00,4.0,87.0
2022-12-01/02:01,4.0,87.0
2022-12-01/02:02,4.0,87.0
2022-12-01/02:03,4.0,87.0
2022-12-01/02:04,4.0,87.0
2022-12-01/02:05,4.0,87.0
2022-12-01/02:06,4.0,87.0
2022-12-01/02:07,4.0,87.0
2022-12-01/02:08,4.0,87.0
2022-12-01/02:09,4.0,87.0
2022-12-01/02:10,4.0,87.0
